id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Eric;Daugherty;Frederick_OConnell72@hotmail.com;local area network Benin;2019-03-27T05:08:10;36771;63633
2;Dimitri;Friesen;Lamar.Wiza48@gmail.com;Investor users dot-com;2019-03-27T01:51:55;57690;66892
3;Jeramie;Stracke;Daren.Reichert@gmail.com;Shoes deposit;2019-03-27T13:05:49;99455;94045
4;Janet;Wilkinson;Tavares_Tillman@gmail.com;Factors;2019-03-27T09:24:34;42818;55276
5;Vita;Marquardt;Wilhelmine29@hotmail.com;reinvent;2019-03-26T20:55:14;26847;31692
6;Jazmyne;Dach;Kaylie_Huels69@yahoo.com;Arkansas Intelligent Credit Card Account;2019-03-26T17:35:11;35864;14008
7;Deonte;Larson;Serenity_Hammes69@gmail.com;Sudanese Pound;2019-03-27T08:43:11;55281;29359
8;Elenora;Schowalter;Ramiro_Gaylord91@yahoo.com;Avon;2019-03-27T05:18:40;62789;79829
9;Clemmie;O'Conner;Maybelle.Hyatt89@gmail.com;value-added incubate Practical;2019-03-27T03:28:08;67202;3594
10;Erling;Kohler;Karen83@gmail.com;TCP Assimilated;2019-03-27T16:24:56;82260;30326
